id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
618900464608386279,SPADA SUITE - Cozy supercentral apt 4 pax,1125260,Massimiliano,,Centro Storico,43.7711286394728,11.250579864384708,Entire home/apt,90,2,2,2022-05-20,2,15,12,2,
628120970964301338,Luxury Suite Duomo 2,369221113,Gabriele,,Centro Storico,43.77116623182918,11.253005881838153,Private room,67,1,3,2022-06-03,3,2,314,3,
619243572980526997,步行十分钟到老桥的超宽敞Loft 离阿诺河仅一步之遥 带阳台,375804493,Ashley,,Centro Storico,43.77730811725639,11.238932782991293,Entire home/apt,161,1,1,2022-05-22,1,1,331,1,
628135136292652753,APPARTAMENTO NEL VERDE,459377026,Bujar,,Isolotto Legnaia,43.777042,11.219565,Entire home/apt,73,2,0,,,1,315,0,
614129877642152292,La casa  FL,75437523,Stefania,,Centro Storico,43.76769063046984,11.266956548686576,Entire home/apt,147,3,0,,,1,321,0,
614239676599280594,COSY APARTMENT HEART OF FLORENCE,456264652,Fuat,,Centro Storico,43.76788417948156,11.251079160900257,Entire home/apt,70,2,0,,,1,209,0,
614275440283633911,Allegri studio apartment,39776,Carol,,Centro Storico,43.76894945880591,11.265436473260761,Entire home/apt,100,7,0,,,24,357,0,
619244718261939561,danti room,46641435,Maria,,Rifredi,43.78897,11.23534,Private room,43,1,4,2022-05-27,3.64,8,317,4,
614287885586844644,Appartamento incantevole in centro di Firenze.,365607134,Joan,,Centro Storico,43.777889,11.252978,Entire home/apt,299,1,0,,,1,283,0,
628142420328382758,Florence sky and light,108225605,Matteo,,Centro Storico,43.775387,11.251478,Entire home/apt,160,1,1,2022-06-07,1,1,311,1,
628281266641792067,Appartamento è molto carino e tranquillo m,294824290,Melia,,Campo di Marte,43.77374,11.29429,Private room,55,1,0,,,2,186,0,
619354910197473847,Torre dei Giudi functional apartment,96122546,CleanBnB Team,,Centro Storico,43.76936,11.253685,Entire home/apt,151,2,1,2022-05-22,1,104,330,1,
628593450812346203,"SAN LORENZO CHARMING, STYLISH AND COSY APARTMENT",10205388,Nicole,,Centro Storico,43.77638400487053,11.251429805643697,Entire home/apt,292,3,4,2022-06-08,4,1,301,4,048017LTN7240
614441732891077117,La Domus Firenze,456331845,Samuele,,Centro Storico,43.77626419846803,11.25355588894603,Entire home/apt,173,2,3,2022-06-05,3,1,180,3,048017LTN7179
619375002380768177,Colonna Antinori Apartment (4),5228552,Stefano,,Centro Storico,43.77464717825388,11.26513794625455,Entire home/apt,200,2,0,,,36,28,0,
614500316308959487,"Ponte Vecchio apart!
quite and bright",62822511,Marusca E Marta,,Centro Storico,43.766329217067465,11.253741897296463,Entire home/apt,100,3,2,2022-05-29,2,11,328,2,
614858169117397861,Matrimoniale Easy 7,415030426,Riccardo,,Centro Storico,43.78202631403248,11.263537589812142,Private room,187,1,7,2022-06-02,5.38,17,357,7,
628636496005255735,Appartamento Ginori,452968112,Istay,,Centro Storico,43.776802,11.255713,Entire home/apt,498,1,0,,,28,15,0,
619405174304383781,Bella Garden House - Private Garden in Florence,107543096,Aurora,,Isolotto Legnaia,43.77419717004468,11.205701676784475,Entire home/apt,139,1,0,,,1,356,0,048017LTN7291
628660465875369066,Loft incantevole Coverciano Firenze,459501346,Vanna,,Campo di Marte,43.77195,11.28566,Entire home/apt,56,7,1,2022-06-05,1,1,151,1,
628745040489071145,Serragli Retreat,23904874,Edoardo E Michela,,Centro Storico,43.7660834127116,11.243499340214713,Entire home/apt,85,30,0,,,154,106,0,
615052920995182674,Appartamento incantevole con terrazzo: Firenze,221716521,Ambra,,Centro Storico,43.76878,11.268461,Entire home/apt,185,2,0,,,11,335,0,
619423720259216143,San Frediano Rooftop Apartment with Terrace,397810,Valter,,Centro Storico,43.76708305865474,11.24145280830408,Entire home/apt,129,3,2,2022-05-29,2,15,247,2,
615064380451760010,Vecchietti 6,175095371,Annie,,Centro Storico,43.772129,11.252982,Entire home/apt,729,1,0,,,21,44,0,048017LTI7166
619483752723515022,Giambologna 2 Bedrooms Apartment - Private Parking,397810,Valter,,Campo di Marte,43.77901726999771,11.273282838774643,Entire home/apt,144,3,3,2022-06-09,3,15,312,3,
615538270246939947,Apartment Airport,1920290,Carolina,,Rifredi,43.79052230812617,11.222948673749586,Entire home/apt,120,2,0,,,1,323,0,
628805174755075779,Lovely apartment in a central and urban location!,5249145,Luca,,Centro Storico,43.765305,11.244714,Entire home/apt,154,2,1,2022-05-30,1,1,318,1,
619589403013065802,Florencia,414068831,Andrea,,Centro Storico,43.770111,11.26582,Entire home/apt,113,2,0,,,1,319,0,
628857825288340941,Fully A/C Boboli Comfy Centre Apt,89287205,Eleonora,,Centro Storico,43.76200785217857,11.244217860168186,Entire home/apt,128,2,1,2022-05-29,1,1,3,1,
628866351716297132,Charming stylish Frescoed x4 close to Duomo,104399148,Simona,,Centro Storico,43.77367,11.25583,Entire home/apt,134,2,0,,,3,327,0,
615629770140626883,Orto Deluxe,23904874,Edoardo E Michela,,Centro Storico,43.76771721493619,11.2415265238325,Entire home/apt,218,2,2,2022-05-22,2,154,211,2,
619919497330899240,Nice & Cute Apartment,206081115,White,,Centro Storico,43.76621845347839,11.251534468287987,Entire home/apt,491,3,1,2022-05-29,1,16,61,1,048017LTI7198
